Site,Name,Pleiades
Given,Kutoron,X
urn:cite:ptolemy:lonlat.pt_ll_4886, Soubouttou, 50753
urn:cite:ptolemy:lonlat.pt_ll_4887, Sirimalaga, 50746
urn:cite:ptolemy:lonlat.pt_ll_4888, Kalligeris, 50025
urn:cite:ptolemy:lonlat.pt_ll_4884, Tiripaggalida, X
urn:cite:ptolemy:lonlat.pt_ll_4885, Baleokourou, X
urn:cite:ptolemy:lonlat.pt_ll_4837, Kognabanda, 59880 
urn:cite:ptolemy:lonlat.pt_ll_4838, Ozoabis, X
urn:cite:ptolemy:lonlat.pt_ll_5620, KÅsa, X
urn:cite:ptolemy:lonlat.pt_ll_4839, Ostha, 50707
urn:cite:ptolemy:lonlat.pt_ll_5622, Nagarouris, X
urn:cite:ptolemy:lonlat.pt_ll_4889, Modogoulla, 50137
urn:cite:ptolemy:lonlat.pt_ll_4890, Petirgala, 50717
urn:cite:ptolemy:lonlat.pt_ll_4891, Banaouasei, X
urn:cite:ptolemy:lonlat.pt_ll_4883, IndÄ, 50004
urn:cite:ptolemy:lonlat.pt_ll_4882, TabasÅ, X 
